Drift ID,Trip ID,ID Cell per Trip,Grid Cell ID,Site (MPA/ REF),Drifting or Holding Station,Start Time,End Time,Drift Time (hrs),BAR (+/- mins) Fishing Time,FLY (+/- mins) Fishing Time,BAT (+/- mins) Fishing Time,DPR (+/- mins) Fishing Time,SBT (+/- mins) Fishing Time,Total (+/-) Time (hrs),Number of BAT fishers,Number of FLY fishers,Number of DPR fishers,Number of SBT fishers,Number of BAR fishers,Total . Anglers Fishing,Total Angler Hrs,ST_LatDD,ST_LonDD,Start Lat/Lon GPS Waypoint,Start Lat/Lon waypoint_link,End_LatDD,End_LonDD,End Lat/Lon GPS Waypoint,End Lat/Lon waypoint_link,Drift Length (m),Recorder,Tag Crew,"Surface T (instrument, C)","Depth T ( instrument, C)","SWT (vessel, F)",Relief (1-3),Start Depth (ft),End Depth (ft),Lingcod Bar Weight (oz),Lead Weight (oz),SBT Tail Length (in),SBT Head Weight (oz),. Seals,. Sea Lions,Total Fishes Caught,Cloud Cover (0-3),Obs Wind Speed (kt),Obs Wind Direction,Obs Swell Height (ft),Secchi Depth (m),Comments,Excluded Drift Comment,Exclude:Gear-Specific CPUE
AIM0910200502,AIT02_20,AIM09102005,AI05,MPA,Drift,1/0/1900,1/0/1900,0.083333333,0,0,0,0,0,0,2,0,2,2,0,6,0.5,34.01564026,-119.38737,241.4,091020_241.4,34.01515961,-119.38615,243.4,091020_243.4,125,CH,"CJ, PC, JC",,,65,1,79,84,,6,4-6,2,,2,9,0,0,N/A,2,,,,FALSE
AIM0910200504,AIT02_20,AIM09102005,AI05,MPA,Drift,1/0/1900,1/0/1900,0.15,0,0,0,-3,0,-0.05,2,0,2,2,0,6,0.85,34.01457977,-119.38523,250.4,091020_250.4,34.01412964,-119.38332,252.4,091020_252.4,184,CH,"CJ, PC, JC",,,67,1,82,89,,6,4-6,2,,1,21,0,0,N/A,2,,#6 OFF 3 MIN,,FALSE
AIM0910200801,AIT02_20,AIM09102008,AI08,MPA,Drift,1/0/1900,1/0/1900,0.05,0,0,-2,0,0,-0.033333333,2,0,2,2,0,6,0.266666667,34.01689911,-119.43352,219.4,091020_219.4,34.01688004,-119.43327,220.4,091020_220.4,23,CH,"CJ, PC, JC",,,65,1,55,59,,6,4-6,2,,0,1,0,0,N/A,2,,#3 OUT 2 MIN,,FALSE
AIM0910200802,AIT02_20,AIM09102008,AI08,MPA,Drift,1/0/1900,1/0/1900,0.1,0,0,0,0,-1,-0.016666667,2,0,2,2,0,6,0.583333333,34.01774979,-119.43617,221.4,091020_221.4,34.01726913,-119.43576,223.4,091020_223.4,65,CH,"CJ, PC, JC",,,65,2,86,68,,6,4-6,2,,1,6,0,0,N/A,2,,#1 OFF 1 MIN,,FALSE
AIM0910200804,AIT02_20,AIM09102008,AI08,MPA,Drift,1/0/1900,1/0/1900,0.25,0,0,0,0,0,0,2,0,2,2,0,6,1.5,34.01842117,-119.43361,226.4,091020_226.4,34.0172081,-119.43259,229.4,091020_229.4,164,CH,"CJ, PC, JC",,,65,3,100,58,,6,4-6,2,,1,12,0,0,N/A,2,,,,FALSE
AIM0910200806,AIT02_20,AIM09102008,AI08,MPA,Drift,1/0/1900,1/0/1900,0.066666667,0,0,0,0,0,0,2,0,2,2,0,6,0.4,34.01813889,-119.43461,236.4,091020_236.4,34.0177002,-119.43432,236.4,091020_236.4,56,CH,"CJ, PC, JC",,,65,1,83,84,,6,4-6,2,,1,1,0,0,N/A,2,,"PAT SAYS ""BUMMER CELL!"";WP 237 OVERRIDDEN ON gps, CORRECT LAT/LON ENTERED HERE",,FALSE
AIM091020MM01,AIT02_20,AIM091020MM,AIMM,MPA,Drift,1/0/1900,1/0/1900,0.1,0,0,0,0,0,0,2,0,2,2,0,6,0.6,34.01828003,-119.43804,224.4,091020_224.4,34.0173111,-119.43782,225.4,091020_225.4,110,CH,"CJ, PC, JC",,,65,1,93,96,,6,4-6,2,,1,3,0,0,N/A,2,,,AIM0910200803; completely out of cell and start/end are greater than 25 m outside (29 m),FALSE
AIM091020MM02,AIT02_20,AIM091020MM,AIMM,MPA,Drift,1/0/1900,1/0/1900,0.25,0,0,-6,-6,-6,-0.3,2,0,2,2,0,6,1.2,34.01607132,-119.43606,230.4,091020_230.4,34.01467133,-119.43672,235.4,091020_235.4,167,CH,"CJ, PC, JC",,,65,1,50,50,,6,4-6,2,,1,2,0,0,N/A,2,,EVERYONE OFF 3 MIN TO RESET,AIM0910200805; greater than 50% out of cell  (approx. 140 m),FALSE
AIM091020MM03,AIT02_20,AIM091020MM,AIMM,MPA,Drift,1/0/1900,1/0/1900,0.25,0,0,-2,0,0,-0.033333333,2,0,2,2,0,6,1.466666667,34.01586151,-119.38387,244.1,091020_244.1,34.01541138,-119.38124,249.4,091020_249.4,248,CH,"CJ, PC, JC",,,65,2,89,77,,6,4-6,2,,2,32,0,0,N/A,2,,# 4 OFF 2 MIN,AIM0910200503; ends in cell AI03,FALSE
AIM091020MM04,AIT02_20,AIM091020MM,AIMM,MPA,Drift,1/0/1900,1/0/1900,0.116666667,0,0,0,0,0,0,2,0,2,2,0,6,0.7,34.01145172,-119.38482,254.4,091020_254.4,34.01192093,-119.38356,256.4,091020_256.4,128,CH,"CJ, PC, JC",,,69,1,42,44,,6,4-6,2,,3,6,0,0,N/A,2,,MOVED INSHORE OF CELL,AIM0910200505; Pushed inshore,FALSE
AIM0915200101,AIT03_20,AIM09152001,AI01,MPA,Drift,1/0/1900,1/0/1900,0.25,0,0,0,-2,0,-0.033333333,2,0,4,2,0,8,1.966666667,34.02101898,-119.36835,295.4,091520_295.4,34.01995087,-119.3644,302.4,091520_302.4,384,CH,"JC, GW, EB, MF",,,67,1,90,95,,8,4-6,1.5,,0,52,0,5,W,2,,# 7 OUT 2 MIN,,FALSE
AIM0915200102,AIT03_20,AIM09152001,AI01,MPA,Drift,1/0/1900,1/0/1900,0.233333333,0,0,0,-4,0,-0.066666667,2,0,3,2,0,7,1.566666667,34.02083969,-119.36848,303.4,091520_303.4,34.01971054,-119.36745,307.4,091520_307.4,158,CH,"JC, GW, EB, MF",,,66,1,90,90,,8,4-6,1.5,,0,21,0,5,W,2,,"#7 OFF 4 MIN TO RUN FISH, #8 OFF REST OF DAY",,FALSE
AIM0915200103,AIT03_20,AIM09152001,AI01,MPA,Drift,1/0/1900,1/0/1900,0.216666667,0,0,0,0,0,0,2,0,3,2,0,7,1.516666667,34.02159882,-119.36913,308.4,091520_308.4,34.02083969,-119.36701,311.4,091520_311.4,213,CH,"JC, GW, EB, MF",,,66,2,100,90,,8,4-6,1.5,,0,19,0,5,W,2,,"#7 BACK ON, #8 OFF",,FALSE
AIM0915200104,AIT03_20,AIM09152001,AI01,MPA,Drift,1/0/1900,1/0/1900,0.166666667,0,0,0,0,0,0,2,0,3,2,0,7,1.166666667,34.0216217,-119.37011,312.4,091520_312.4,34.02059937,-119.36647,317.4,091520_317.4,355,CH,"JC, GW, EB, MF",,,67,3,114,80,,8,4-6,1.5,,0,26,0,5,W,2,,#8 OFF; ADDED EXTRA 15 TO CELL,,FALSE
AIM0915200901,AIT03_20,AIM09152009,AI09,MPA,Drift,1/0/1900,1/0/1900,0.216666667,0,0,-6,-8,-4,-0.3,2,0,3,2,0,7,1.216666667,34.01845169,-119.4285,281.4,091520_281.4,34.01807022,-119.42718,285.4,091520_285.4,129,CH,"JC, GW, EB, MF",,,66,1,103,103,,8,4-6,1.5,,2,8,1,5,SE,2,,#2 & 7 OFF 2 MIN; all off 2 min to reset,,FALSE
AIM0915200902,AIT03_20,AIM09152009,AI09,MPA,Drift,1/0/1900,1/0/1900,0.183333333,0,0,0,-3,0,-0.05,2,0,4,2,0,8,1.416666667,34.01852036,-119.42914,286.4,091520_286.4,34.01845169,-119.42737,288.4,091520_288.4,164,CH,"JC, GW, EB, MF",,,65,1,114,114,,8,4-6,1.5,,2,9,1,5,W,2,,#8 ON DPR AS AS CREW; #6 OFF 3 MIN,,FALSE
AIM0915200903,AIT03_20,AIM09152009,AI09,MPA,Drift,1/0/1900,1/0/1900,0.25,0,0,0,-2,0,-0.033333333,2,0,4,2,0,8,1.966666667,34.01660919,-119.42671,289.4,091520_289.4,34.01617813,-119.42513,292.4,091520_292.4,154,CH,"JC, GW, EB, MF",,,65,1,56,56,,8,4-6,1.5,,1,10,0,5,W,2,,#7 OUT 2 MIN,,FALSE
AIM0915200904,AIT03_20,AIM09152009,AI09,MPA,Drift,1/0/1900,1/0/1900,0.1,0,0,0,-1.5,0,-0.025,2,0,4,2,0,8,0.775,34.0196991,-119.4276,293.4,091520_293.4,34.01921082,-119.42638,294.4,091520_294.4,125,CH,"JC, GW, EB, MF",,,66,1,155,160,,8,4-6,1.5,,3,6,0,5,W,2,,#6 &7 OUT 45 S; MOVED TO DESCEND FISH AND CALLED DRIFT EARLY; 2 WHT AND 1 RSY MORTALITY,,FALSE
AIM091520MM01,AIT03_20,AIM091520MM,AIMM,MPA,Drift,1/0/1900,1/0/1900,0.083333333,0,0,0,0,0,0,2,0,3,2,0,7,0.583333333,34.0205307,-119.36972,318.4,091520_318.4,34.0198288,-119.36797,321.4,091520_321.4,179,CH,"JC, GW, EB, MF",,,66,1,90,90,,8,4-6,1.5,,0,19,0,5,w,2,,#8 OFF; ADDED EXTRA 15 TO CELL,AIM0915200105; ends in cell 2,FALSE
AIM0916200301,AIT04_20,AIM09162003,AI03,MPA,Drift,1/0/1900,1/0/1900,0.25,0,0,0,-13,0,-0.216666667,3,0,3,3,0,9,2.033333333,34.01654053,-119.38175,375.4,091620_375.4,34.01654816,-119.38036,383.4,091620_383.4,129,CH,"JC, CJ, JZ",,,64,1,80,81,,8,4-6,2,,0,49,0,10,W,3,,#8 OFF 13 MINUTES TO RUN FISH,,FALSE
AIM0916200302,AIT04_20,AIM09162003,AI03,MPA,Drift,1/0/1900,1/0/1900,0.25,0,0,0,0,0,0,3,0,2,3,0,8,2,34.01874161,-119.37997,384.4,091620_384.4,34.01882172,-119.37719,393.4,091620_393.4,257,CH,"JC, CJ, JZ",,,64,1,111,111,,8,4-6,2,,0,48,0,10,W,3,,,,FALSE
AIM0916200303,AIT04_20,AIM09162003,AI03,MPA,Drift,1/0/1900,1/0/1900,0.25,0,0,0,0,0,0,3,0,2,3,0,8,2,34.01771927,-119.37848,394.4,091620_394.4,34.01828003,-119.37564,402.4,091620_402.4,270,CH,"JC, CJ, JZ",,,64,1,76,84,,8,4-6,2,,0,49,0,10,W,3,,#8 OFF TO RUN FISH,,FALSE
AIM0916200401,AIT04_20,AIM09162004,AI04,MPA,Drift,1/0/1900,1/0/1900,0.25,0,0,0,0,-11,-0.183333333,3,0,2,3,0,8,1.816666667,34.01391983,-119.39378,322.4,091620_322.4,34.01403046,-119.39173,330.4,091620_330.4,190,CH,"JC, CJ, JZ",,,66,1,78,78,,8,4-6,2,,0,38,0,10,W,3,,"#9 ON AS SBT OFF 11 MIN; 10 KTS W WIND, 2-4 FT W SWELL; #8 OFF WHOLE DRIFT; #3 ON 3 OZ LEADHEAD, #4 ON 1.5 OZ",,FALSE
AIM0916200403,AIT04_20,AIM09162004,AI04,MPA,Drift,1/0/1900,1/0/1900,0.1,0,0,-2,0,-2,-0.066666667,3,0,2,3,0,8,0.733333333,34.01383972,-119.39414,336.4,091620_336.4,34.01377106,-119.3937,340.4,091620_340.4,41,CH,"JC, CJ, JZ",,,66,3,100,64,,8,4-6,2,,0,24,0,10,W,3,,#8 OUT WHOLE DRIFT; #6 & #9 OUT 2 MIN,,FALSE
AIM0916200404,AIT04_20,AIM09162004,AI04,MPA,Drift,1/0/1900,1/0/1900,0.166666667,0,0,0,0,-2,-0.033333333,3,0,2,3,0,8,1.3,34.01224899,-119.39426,341.4,091620_341.4,34.0127182,-119.39327,346.4,091620_346.4,105,CH,"JC, CJ, JZ",,,66,1,78,78,,8,4-6,2,,1,25,0,10,W,3,,#9 OUT 2 MIN,,FALSE
AIM0916200405,AIT04_20,AIM09162004,AI04,MPA,Drift,1/0/1900,1/0/1900,0.1,0,0,0,0,0,0,3,0,2,3,0,8,0.8,34.01211929,-119.39302,347.4,091620_347.4,34.01213837,-119.39258,351.4,091620_351.4,41,CH,"JC, CJ, JZ",,,66,1,58,50,,8,4-6,2,,1,18,0,10,W,3,,#8 OUT TO RUN FISH ALL DRIFT; 2 SEAQUALIZERS BROKE OFF,,FALSE
AIM091620MM01,AIT04_20,AIM091620MM,AIMM,MPA,Drift,1/0/1900,1/0/1900,0.133333333,0,0,-3.75,0,0,-0.0625,3,0,2,3,0,8,1.004166667,34.01403046,-119.39173,330.4,091620_330.4,34.01438904,-119.39083,335.4,091620_335.4,92,CH,"JC, CJ, JZ",,,66,1,66,68,,8,4-6,2,,0,25,0,10,W,3,,#7 OUT 45 S; #8 OUT WHOLE DRIFT; #5 OUT 3 MIN,AIM0916200402; completely out of cell and start/end are greater than 25 m outside (47 m),FALSE
AIM0917190301,AIT01_19,AIM09171903,AI03,MPA,Drift,1/0/1900,1/0/1900,0.25,0,0,0,-3,0,-0.05,4,0,4,3,0,11,2.7,34.01765823,-119.37786,18.3,091719_18.3,34.01716232,-119.37689,26.3,091719_26.3,105,CH,"JS, CJ, AVW, CH",,,66,2,72,73,10,,,1,0,1,52,0,,,2,,#10 OUT 3MIN,,FALSE
AIM0917190302,AIT01_19,AIM09171903,AI03,MPA,Drift,1/0/1900,1/0/1900,0.25,0,0,-2,-15,-12,-0.483333333,4,0,4,4,0,12,2.516666667,34.01689911,-119.38174,27.3,091719_27.3,34.01651001,-119.3804,36.3,091719_36.3,131,CH,"JS, CJ, AVW, CH",,,66,2,62,84,10,,,1,0,1,63,0,,,2,,"MOVING CELL *INSHORE*; #12 (CREW BIN) OUT 5MIN; #9, #11, AND #7 OUT 5MIN + 2MIN; #10 OUT 5MIN; #8 OUT 2MIN",,FALSE
AIM0917190401,AIT01_19,AIM09171904,AI04,MPA,Drift,1/0/1900,1/0/1900,0.25,0,0,0,-4,0,-0.066666667,4,0,4,3,0,11,2.683333333,34.01231003,-119.39407,47.3,091719_47.3,34.01163864,-119.39335,55.3,091719_55.3,64,CH,"JS, CJ, AVW, CH",,,66,1,72,80,10,,,1,0,0,47,0,,,2,,# 9 OUT 3 MIN; #10 OUT 1 MIN,,FALSE
AIM0917190403,AIT01_19,AIM09171904,AI04,MPA,Drift,1/0/1900,1/0/1900,0.25,0,0,0,0,0,0,4,0,4,3,0,11,2.75,34.01081085,-119.39333,67.3,091719_67.3,34.00973892,-119.39359,78.3,091719_78.3,100,CH,"JS, CJ, AVW, CH",,,66.4,2,66,66,10,,,1,0,0,51,0,,,2,,2 FISH LOST AT SURFACE,,FALSE
AIM091719MM01,AIT01_19,AIM091719MM,AIMM,MPA,Drift,1/0/1900,1/0/1900,0.25,0,0,0,0,0,0,4,0,4,3,0,11,2.75,34.01388168,-119.37853,37.3,091719_37.3,34.01340103,-119.37815,46.3,091719_46.3,71,CH,"JS, CJ, AVW, CH",,,66,2,36,36,10,,,1,0,0,36,0,,,2,,TAG #4580 MISFIRE,Start and End outside of Cell,FALSE
AIM091719MM02,AIT01_19,AIM091719MM,AIMM,MPA,Drift,1/0/1900,1/0/1900,0.25,0,0,0,-8,0,-0.133333333,4,0,4,3,0,11,2.616666667,34.01496124,-119.39339,56.3,091719_56.3,34.01433945,-119.39323,66.3,091719_66.3,121,CH,"JS, CJ, AVW, CH",,,66.4,1,100,89,10,,,1,0,0,60,0,,,2,,#9 OUT 8 MIN,Start and End outside of Cell,FALSE
AIM0917200301,AIT05_20,AIM09172003,AI03,MPA,Drift,1/0/1900,1/0/1900,0.166666667,0,0,0,0,0,0,2,0,3,5,0,10,1.666666667,34.01739883,-119.37805,441.4,091720_441.4,34.01810837,-119.37611,442.4,091720_442.4,196,CH,"CJ, APF, PC",,,64,1,80,80,,8,4-6,3,,0,29,0,5,W,2,,,,FALSE
AIM0917200302,AIT05_20,AIM09172003,AI03,MPA,Drift,1/0/1900,1/0/1900,0.083333333,0,0,0,0,0,0,2,0,3,5,0,10,0.833333333,34.01744843,-119.37811,443.4,091720_443.4,34.0180397,-119.3769,445.4,091720_445.4,130,CH,"CJ, APF, PC",,,64,1,78,73,,8,4-6,3,,0,15,0,5,W,2,,,,FALSE
AIM0917200303,AIT05_20,AIM09172003,AI03,MPA,Drift,1/0/1900,1/0/1900,0.15,0,0,0,0,0,0,2,0,3,5,0,10,1.5,34.0166893,-119.38141,446.4,091720_446.4,34.0163002,-119.38024,447.4,091720_447.4,117,CH,"CJ, APF, PC",,,64,1,81,82,,8,4-6,3,,0,34,0,5,W,2,,,,FALSE
AIM0917200304,AIT05_20,AIM09172003,AI03,MPA,Drift,1/0/1900,1/0/1900,0.133333333,0,0,0,-5,-3,-0.133333333,2,0,3,5,0,10,1.2,34.01721954,-119.38127,448.4,091720_448.4,34.01689148,-119.38027,453.4,091720_453.4,99,CH,"CJ, APF, PC",,,64,2,86,76,,8,4-6,3,,0,23,0,5,W,2,,#6 OFF 3 MIN; #3 OFF 3 MIN; # 9 OFF 2 MIN,,FALSE
AIM0917200701,AIT05_20,AIM09172007,AI07,MPA,Drift,1/0/1900,1/0/1900,0.083333333,0,0,0,0,0,0,2,0,3,3,0,8,0.666666667,34.0209198,-119.44269,403.4,091720_403.4,34.0200119,-119.44268,405.4,091720_405.4,101,CH,"CJ, APF, PC",,,64,2,130,150,,8,4-6,2,,0,11,0,5,W,2,,,,FALSE
AIM0917200702,AIT05_20,AIM09172007,AI07,MPA,Drift,1/0/1900,1/0/1900,0.166666667,0,0,0,0,0,0,2,0,3,4,0,9,1.5,34.02199173,-119.44098,406.4,091720_406.4,34.02077866,-119.44132,409.4,091720_409.4,138,CH,"CJ, APF, PC",,,64,1,148,149,,8,4-6,2,,2,15,0,5,W,2,,#9 ON AS DPR; #10 ON AS SBT; #7 OUT TO RUN FISH,,FALSE
AIM0917200703,AIT05_20,AIM09172007,AI07,MPA,Drift,1/0/1900,1/0/1900,0.066666667,0,0,0,0,0,0,2,0,3,4,0,9,0.6,34.01940155,-119.43885,410.4,091720_410.4,34.01905823,-119.43915,411.4,091720_411.4,47,CH,"CJ, APF, PC",,,64,1,132,138,,8,4-6,2,,1,1,0,5,W,2,,#7 OUT TO RUN FISH,,FALSE
AIM0917200704,AIT05_20,AIM09172007,AI07,MPA,Drift,1/0/1900,1/0/1900,0.283333333,0,0,-4,-4,0,-0.133333333,2,0,3,4,0,9,2.416666667,34.02185822,-119.43863,413.4,091720_413.4,34.02146149,-119.44005,419.4,091720_419.4,139,CH,"CJ, APF, PC",,,64,1,158,150,,8,4-6,3,,1,27,0,5,W,2,,SWBT: 3 OZ; # 9 OFF 4 MIN TO DESCEND FISH; IGNORE WAYPOINY 412; #7 OUT ALL CELL TO RUN FISH; #1 &2 OUT 2 MIN,,FALSE
AIM091720MM01,AIT05_20,AIM091720MM,AIMM,MPA,Drift,1/0/1900,1/0/1900,0.166666667,0,0,-4,-6,-24,-0.566666667,2,0,3,5,0,10,1.1,34.01470184,-119.4428,420.4,091720_420.4,34.01473999,-119.44005,423.4,091720_423.4,254,CH,"CJ, APF, PC",,,64,2,56,46,,8,4-6,3,,1,3,0,5,W,2,,#7 OFF TO RUN FISH Off FOR 8 MIN AS SBT;ALL OFF 2 MIN TO RESET; #6 OFF 6 MIN; PUSHED INSHORE FOR THIS LAST DRIFT,Pushed inshore of cell; AIM0917200705,FALSE
AIM091720MM02,AIT05_20,AIM091720MM,AIMM,MPA,Drift,1/0/1900,1/0/1900,0.1,0,0,0,0,0,0,2,0,3,5,0,10,1,34.01404953,-119.37795,454.4,091720_454.4,34.01457977,-119.37607,457.4,091720_457.4,184,CH,"CJ, APF, PC",,,64,1,58,62,,8,4-6,3,,0,10,0,5,W,2,,PUSHED INSHORE OF CELL,AIM0917200305; pushed inshore of cell,FALSE
AIM091720MM03,AIT05_20,AIM091720MM,AIMM,MPA,Drift,1/0/1900,1/0/1900,0.116666667,0,0,0,0,0,0,2,0,3,5,0,10,1.166666667,34.01519012,-119.3752,458.4,091720_458.4,34.01620102,-119.37401,462.4,091720_462.4,157,CH,"CJ, APF, PC",,,64,1,38,40,,8,4-6,3,,0,17,0,5,W,2,,PUSHED INSHORE OF CELL,AIM0917200306; pushed inshore of cell,FALSE
AIM0918190101,AIT02_19,AIM09181901,AI01,MPA,Drift,1/0/1900,1/0/1900,0.05,0,0,0,0,0,0,3,0,4,2,0,9,0.45,34.02004623,-119.370221,111.3,091819_111.3,34.01987076,-119.36948,112.3,091819_112.3,71,CH,"JS, JC, PC, JZ",,,66,,84,82,10,,,1,,,1,,5,W,1.5,,Angler #2 off whole drift,,FALSE
AIM0918190102,AIT02_19,AIM09181901,AI01,MPA,Drift,1/0/1900,1/0/1900,0.133333333,0,0,-5,0,0,-0.083333333,3,0,4,3,0,10,1.25,34.01988983,-119.37398,113.3,091819_113.3,34.0190239,-119.373763,117.3,091819_117.3,98,CH,"JS, JC, PC, JZ",,,66,,102,102,10,,,1,,,24,,5,W,1.5,,#10 OFF 5 min,,FALSE
AIM0918190103,AIT02_19,AIM09181901,AI01,MPA,Drift,1/0/1900,1/0/1900,0.066666667,0,0,0,0,0,0,3,0,4,3,0,10,0.666666667,34.01976013,-119.37397,118.3,091819_118.3,34.01914978,-119.37336,123.3,091819_123.3,88,CH,"JS, JC, PC, JZ",,,66,,102,104,10,,,1,,,29,,5,W,1.5,,,,FALSE
AIM0918190105,AIT02_19,AIM09181901,AI01,MPA,Drift,1/0/1900,1/0/1900,0.066666667,0,0,-2,0,0,-0.033333333,3,0,4,3,0,10,0.633333333,34.02246857,-119.3705,130.3,091819_130.3,34.02243042,-119.36987,133.3,091819_133.3,58,CH,"JS, JC, PC, JZ",,,67,,136,138,10,,,1,,,15,,5,W,1.5,,#10 OFF 2MIN,,FALSE
AIM0918190106,AIT02_19,AIM09181901,AI01,MPA,Drift,1/0/1900,1/0/1900,0.25,0,0,0,0,0,0,3,0,4,4,0,11,2.75,34.02003098,-119.37377,134.3,091819_134.3,34.01978683,-119.371806,140.3,091819_140.3,184,JC,"JS, JC, PC, JZ",,,67,,108,102,10,,,1,,,54,,5,W,1.5,,1 SEAGULL MORT. OF WHT,,FALSE
